week,owner_team_name,owner,score,win,opp_owner_team_name,opp_owner,opp_score
1,Sticky Icky,T-$,152.2,1,Happy Rock Homewreckers,Blainer,148.7
1,Happy Rock Homewreckers,Blainer,148.7,0,Sticky Icky,T-$,152.2
1,Bench Don't Kill My Vibe,Padge,111.8,0,Bud Lathrop Drive,Farmer,116.1
1,Bud Lathrop Drive,Farmer,116.1,1,Bench Don't Kill My Vibe,Padge,111.8
1,Springfield Atoms,Duvi,127.7,0,Pixel Whippers,Sembower,127.8
1,Pixel Whippers,Sembower,127.8,1,Springfield Atoms,Duvi,127.7
1,Seattle rainier riot,Boob,164.3,0,Beacon Hill Posterizers,Bup,169.1
1,Beacon Hill Posterizers,Bup,169.1,1,Seattle rainier riot,Boob,164.3
1,Brookside Shokunin,Cheese,151.3,1,CoMo FightinCamlToes,Doisy,146.8
1,CoMo FightinCamlToes,Doisy,146.8,0,Brookside Shokunin,Cheese,151.3
2,Springfield Atoms,Duvi,110.0,0,Bench Don't Kill My Vibe,Padge,127.9
2,Bench Don't Kill My Vibe,Padge,127.9,1,Springfield Atoms,Duvi,110.0
2,Happy Rock Homewreckers,Blainer,117.7,0,Seattle rainier riot,Boob,168.6
2,Seattle rainier riot,Boob,168.6,1,Happy Rock Homewreckers,Blainer,117.7
2,Sticky Icky,T-$,101.6,0,Brookside Shokunin,Cheese,169.3
2,Brookside Shokunin,Cheese,169.3,1,Sticky Icky,T-$,101.6
2,Bud Lathrop Drive,Farmer,103.8,0,Beacon Hill Posterizers,Bup,124.2
2,Beacon Hill Posterizers,Bup,124.2,1,Bud Lathrop Drive,Farmer,103.8
2,Pixel Whippers,Sembower,151.4,1,CoMo FightinCamlToes,Doisy,131.6
2,CoMo FightinCamlToes,Doisy,131.6,0,Pixel Whippers,Sembower,151.4
3,Brookside Shokunin,Cheese,121.7,1,Seattle rainier riot,Boob,119.5
3,Seattle rainier riot,Boob,119.5,0,Brookside Shokunin,Cheese,121.7
3,Beacon Hill Posterizers,Bup,173.7,1,Bench Don't Kill My Vibe,Padge,160.4
3,Bench Don't Kill My Vibe,Padge,160.4,0,Beacon Hill Posterizers,Bup,173.7
3,CoMo FightinCamlToes,Doisy,116.1,0,Springfield Atoms,Duvi,154.2
3,Springfield Atoms,Duvi,154.2,1,CoMo FightinCamlToes,Doisy,116.1
3,Bud Lathrop Drive,Farmer,128.7,1,Happy Rock Homewreckers,Blainer,117.0
3,Happy Rock Homewreckers,Blainer,117.0,0,Bud Lathrop Drive,Farmer,128.7
3,Pixel Whippers,Sembower,119.8,0,Sticky Icky,T-$,146.6
3,Sticky Icky,T-$,146.6,1,Pixel Whippers,Sembower,119.8
4,CoMo FightinCamlToes,Doisy,99.0,0,Beacon Hill Posterizers,Bup,127.7
4,Beacon Hill Posterizers,Bup,127.7,1,CoMo FightinCamlToes,Doisy,99.0
4,Seattle rainier riot,Boob,126.8,1,Bud Lathrop Drive,Farmer,113.2
4,Bud Lathrop Drive,Farmer,113.2,0,Seattle rainier riot,Boob,126.8
4,Brookside Shokunin,Cheese,98.4,0,Pixel Whippers,Sembower,104.6
4,Pixel Whippers,Sembower,104.6,1,Brookside Shokunin,Cheese,98.4
4,Bench Don't Kill My Vibe,Padge,137.1,0,Happy Rock Homewreckers,Blainer,143.8
4,Happy Rock Homewreckers,Blainer,143.8,1,Bench Don't Kill My Vibe,Padge,137.1
4,Springfield Atoms,Duvi,129.5,1,Sticky Icky,T-$,66.1
4,Sticky Icky,T-$,66.1,0,Springfield Atoms,Duvi,129.5
5,Pixel Whippers,Sembower,126.6,1,Bud Lathrop Drive,Farmer,112.5
5,Bud Lathrop Drive,Farmer,112.5,0,Pixel Whippers,Sembower,126.6
5,Happy Rock Homewreckers,Blainer,159.8,1,Beacon Hill Posterizers,Bup,138.5
5,Beacon Hill Posterizers,Bup,138.5,0,Happy Rock Homewreckers,Blainer,159.8
5,Sticky Icky,T-$,156.4,0,CoMo FightinCamlToes,Doisy,162.3
5,CoMo FightinCamlToes,Doisy,162.3,1,Sticky Icky,T-$,156.4
5,Bench Don't Kill My Vibe,Padge,111.5,0,Seattle rainier riot,Boob,144.1
5,Seattle rainier riot,Boob,144.1,1,Bench Don't Kill My Vibe,Padge,111.5
5,Springfield Atoms,Duvi,122.8,0,Brookside Shokunin,Cheese,181.0
