owner_team_name,wins,losses,points_for,points_against
Beacon Hill Posterizers,11,5,2380.4,2057.1
Bench Don't Kill My Vibe,6,10,2135.7,2134.4
Brookside Shokunin,9,7,2140.7000000000003,1933.4
Bud Lathrop Drive,4,12,1797.2,2121.1
CoMo FightinCamlToes,7,9,2211.6,1972.9
Happy Rock Homewreckers,6,10,1979.2,2089.2
Pixel Whippers,8,8,1924.9,1991.1000000000001
Seattle rainier riot,7,9,1992.6000000000001,2101.6
Springfield Atoms,5,11,1841.5,1981.3999999999999
Sticky Icky,7,9,1953.8,1975.4
