owner_team_name,wins,losses,points_for,points_against
Beacon Hill Posterizers,9,8,2492.1,2549.0
Bench Don't Kill My Vibe,6,11,2293.1,2534.1
Brookside Shokunin,9,8,2706.8,2751.3
Bud Lathrop Drive,7,10,2781.8,2700.0
CoMo FightinCamlToes,11,6,2470.6,2489.2
Happy Rock Homewreckers,9,8,2804.8,2704.7
Pixel Whippers,7,10,2799.7,2750.9
Seattle rainier riot,9,7,2511.6,2370.2
Springfield Atoms,10,6,2411.7,2402.2
Sticky Icky,7,10,2475.4,2496.0
