week,owner_team_name,owner,score,win,opp_owner_team_name,opp_owner,opp_score
1,Sticky Icky,T-$,156.9,0,CoMo FightinCamlToes,Doisy,167.3
1,CoMo FightinCamlToes,Doisy,167.3,1,Sticky Icky,T-$,156.9
1,Springfield Atoms,Duvi,168.2,1,Happy Rock Homewreckers,Blainer,103.4
1,Happy Rock Homewreckers,Blainer,103.4,0,Springfield Atoms,Duvi,168.2
1,Pixel Whippers,Sembower,169.5,0,Seattle rainier riot,Boob,204.8
1,Seattle rainier riot,Boob,204.8,1,Pixel Whippers,Sembower,169.5
1,Brookside Shokunin,Cheese,228.9,1,Bud Lathrop Drive,Farmer,135.3
1,Bud Lathrop Drive,Farmer,135.3,0,Brookside Shokunin,Cheese,228.9
1,Bench Don't Kill My Vibe,Padge,151.2,1,Beacon Hill Posterizers,Bup,113.5
1,Beacon Hill Posterizers,Bup,113.5,0,Bench Don't Kill My Vibe,Padge,151.2
2,Springfield Atoms,Duvi,167.9,1,Sticky Icky,T-$,154.0
2,Sticky Icky,T-$,154.0,0,Springfield Atoms,Duvi,167.9
2,CoMo FightinCamlToes,Doisy,148.0,1,Pixel Whippers,Sembower,133.1
2,Pixel Whippers,Sembower,133.1,0,CoMo FightinCamlToes,Doisy,148.0
2,Happy Rock Homewreckers,Blainer,162.1,0,Brookside Shokunin,Cheese,171.4
2,Brookside Shokunin,Cheese,171.4,1,Happy Rock Homewreckers,Blainer,162.1
2,Seattle rainier riot,Boob,163.7,0,Bench Don't Kill My Vibe,Padge,177.7
2,Bench Don't Kill My Vibe,Padge,177.7,1,Seattle rainier riot,Boob,163.7
2,Bud Lathrop Drive,Farmer,174.1,0,Beacon Hill Posterizers,Bup,177.1
2,Beacon Hill Posterizers,Bup,177.1,1,Bud Lathrop Drive,Farmer,174.1
3,Sticky Icky,T-$,152.5,1,Pixel Whippers,Sembower,134.3
3,Pixel Whippers,Sembower,134.3,0,Sticky Icky,T-$,152.5
3,Brookside Shokunin,Cheese,155.8,0,Springfield Atoms,Duvi,158.2
3,Springfield Atoms,Duvi,158.2,1,Brookside Shokunin,Cheese,155.8
3,Bench Don't Kill My Vibe,Padge,139.2,0,CoMo FightinCamlToes,Doisy,146.9
3,CoMo FightinCamlToes,Doisy,146.9,1,Bench Don't Kill My Vibe,Padge,139.2
3,Beacon Hill Posterizers,Bup,173.0,1,Happy Rock Homewreckers,Blainer,154.0
3,Happy Rock Homewreckers,Blainer,154.0,0,Beacon Hill Posterizers,Bup,173.0
3,Bud Lathrop Drive,Farmer,176.5,0,Seattle rainier riot,Boob,183.7
3,Seattle rainier riot,Boob,183.7,1,Bud Lathrop Drive,Farmer,176.5
4,Brookside Shokunin,Cheese,142.3,1,Sticky Icky,T-$,129.5
4,Sticky Icky,T-$,129.5,0,Brookside Shokunin,Cheese,142.3
4,Pixel Whippers,Sembower,210.5,1,Bench Don't Kill My Vibe,Padge,156.8
4,Bench Don't Kill My Vibe,Padge,156.8,0,Pixel Whippers,Sembower,210.5
4,Springfield Atoms,Duvi,120.9,0,Beacon Hill Posterizers,Bup,131.7
4,Beacon Hill Posterizers,Bup,131.7,1,Springfield Atoms,Duvi,120.9
4,CoMo FightinCamlToes,Doisy,197.1,1,Bud Lathrop Drive,Farmer,170.4
4,Bud Lathrop Drive,Farmer,170.4,0,CoMo FightinCamlToes,Doisy,197.1
4,Happy Rock Homewreckers,Blainer,162.7,0,Seattle rainier riot,Boob,170.7
4,Seattle rainier riot,Boob,170.7,1,Happy Rock Homewreckers,Blainer,162.7
5,Sticky Icky,T-$,151.8,0,Bench Don't Kill My Vibe,Padge,165.1
