owner_team_name,wins,losses,points_for,points_against
Beacon Hill Posterizers,10,6,2583.6,2445.8
Bench Don't Kill My Vibe,4,12,2309.9,2615.4
Brookside Shokunin,7,9,2516.1,2448.9
Bud Lathrop Drive,6,10,2417.6,2547.3
CoMo FightinCamlToes,7,9,2398.7,2347.1
Happy Rock Homewreckers,6,10,2456.8,2627.8
Pixel Whippers,6,10,2646.5,2679.0
Seattle rainier riot,8,8,2586.3,2421.2
Springfield Atoms,6,10,2428.9,2526.4
Sticky Icky,10,6,2746.3,2431.8
