week,owner_team_name,owner,score,win,opp_owner_team_name,opp_owner,opp_score
9,Seattle rainier riot,Boob,177.9,1,Bud Lathrop Drive,Farmer,100.2
9,Bud Lathrop Drive,Farmer,100.2,0,Seattle rainier riot,Boob,177.9
9,CoMo FightinCamlToes,Doisy,100.2,0,Pixel Whippers,Sembower,171.7
9,Pixel Whippers,Sembower,171.7,1,CoMo FightinCamlToes,Doisy,100.2
10,Beacon Hill Posterizers,Bup,187.4,1,Bench Don't Kill My Vibe,Padge,152.8
10,Bench Don't Kill My Vibe,Padge,152.8,0,Beacon Hill Posterizers,Bup,187.4
10,Springfield Atoms,Duvi,126.7,0,CoMo FightinCamlToes,Doisy,147.6
10,CoMo FightinCamlToes,Doisy,147.6,1,Springfield Atoms,Duvi,126.7
10,Brookside Shokunin,Cheese,187.4,1,Seattle rainier riot,Boob,119.5
10,Seattle rainier riot,Boob,119.5,0,Brookside Shokunin,Cheese,187.4
10,Sticky Icky,T-$,146.1,1,Pixel Whippers,Sembower,143.6
10,Pixel Whippers,Sembower,143.6,0,Sticky Icky,T-$,146.1
10,Bud Lathrop Drive,Farmer,109.1,0,Happy Rock Homewreckers,Blainer,116.1
10,Happy Rock Homewreckers,Blainer,116.1,1,Bud Lathrop Drive,Farmer,109.1
11,Brookside Shokunin,Cheese,211.6,1,Pixel Whippers,Sembower,170.1
11,Pixel Whippers,Sembower,170.1,0,Brookside Shokunin,Cheese,211.6
11,Beacon Hill Posterizers,Bup,177.9,1,CoMo FightinCamlToes,Doisy,118.5
11,CoMo FightinCamlToes,Doisy,118.5,0,Beacon Hill Posterizers,Bup,177.9
11,Bud Lathrop Drive,Farmer,72.3,0,Seattle rainier riot,Boob,163.2
11,Seattle rainier riot,Boob,163.2,1,Bud Lathrop Drive,Farmer,72.3
11,Sticky Icky,T-$,120.3,1,Springfield Atoms,Duvi,110.2
11,Springfield Atoms,Duvi,110.2,0,Sticky Icky,T-$,120.3
11,Bench Don't Kill My Vibe,Padge,127.0,1,Happy Rock Homewreckers,Blainer,125.4
11,Happy Rock Homewreckers,Blainer,125.4,0,Bench Don't Kill My Vibe,Padge,127.0
12,Sticky Icky,T-$,157.6,1,CoMo FightinCamlToes,Doisy,108.8
12,CoMo FightinCamlToes,Doisy,108.8,0,Sticky Icky,T-$,157.6
12,Springfield Atoms,Duvi,154.6,0,Brookside Shokunin,Cheese,167.1
12,Brookside Shokunin,Cheese,167.1,1,Springfield Atoms,Duvi,154.6
12,Seattle rainier riot,Boob,149.1,1,Happy Rock Homewreckers,Blainer,126.0
12,Happy Rock Homewreckers,Blainer,126.0,0,Seattle rainier riot,Boob,149.1
12,Beacon Hill Posterizers,Bup,178.7,1,Bench Don't Kill My Vibe,Padge,175.9
12,Bench Don't Kill My Vibe,Padge,175.9,0,Beacon Hill Posterizers,Bup,178.7
12,Pixel Whippers,Sembower,120.7,0,Bud Lathrop Drive,Farmer,162.7
12,Bud Lathrop Drive,Farmer,162.7,1,Pixel Whippers,Sembower,120.7
13,Pixel Whippers,Sembower,166.3,0,Brookside Shokunin,Cheese,131.7
13,Brookside Shokunin,Cheese,131.7,0,Pixel Whippers,Sembower,166.3
14,Pixel Whippers,Sembower,126.1,0,Brookside Shokunin,Cheese,189.1
14,Brookside Shokunin,Cheese,189.1,1,Pixel Whippers,Sembower,126.1
13,Seattle rainier riot,Boob,110.8,0,Beacon Hill Posterizers,Bup,122.9
13,Beacon Hill Posterizers,Bup,122.9,0,Seattle rainier riot,Boob,110.8
14,Seattle rainier riot,Boob,109.9,0,Beacon Hill Posterizers,Bup,108.7
14,Beacon Hill Posterizers,Bup,108.7,1,Seattle rainier riot,Boob,109.9
13,Springfield Atoms,Duvi,75.6,0,Sticky Icky,T-$,129.9
13,Sticky Icky,T-$,129.9,0,Springfield Atoms,Duvi,75.6
14,Springfield Atoms,Duvi,99.7,0,Sticky Icky,T-$,130.2
14,Sticky Icky,T-$,130.2,1,Springfield Atoms,Duvi,99.7
13,Happy Rock Homewreckers,Blainer,97.6,0,Bud Lathrop Drive,Farmer,110.0
13,Bud Lathrop Drive,Farmer,110.0,0,Happy Rock Homewreckers,Blainer,97.6
14,Happy Rock Homewreckers,Blainer,105.6,0,Bud Lathrop Drive,Farmer,169.7
14,Bud Lathrop Drive,Farmer,169.7,1,Happy Rock Homewreckers,Blainer,105.6
13,Bench Don't Kill My Vibe,Padge,153.5,0,CoMo FightinCamlToes,Doisy,84.6
13,CoMo FightinCamlToes,Doisy,84.6,0,Bench Don't Kill My Vibe,Padge,153.5
14,Bench Don't Kill My Vibe,Padge,126.0,1,CoMo FightinCamlToes,Doisy,129.3
14,CoMo FightinCamlToes,Doisy,129.3,0,Bench Don't Kill My Vibe,Padge,126.0
16,Beacon Hill Posterizers,Bup,101.2,0,Brookside Shokunin,Cheese,98.5
16,Brookside Shokunin,Cheese,98.5,0,Beacon Hill Posterizers,Bup,101.2
15,Beacon Hill Posterizers,Bup,171.5,1,Brookside Shokunin,Cheese,138.0
15,Brookside Shokunin,Cheese,138.0,0,Beacon Hill Posterizers,Bup,171.5
16,Pixel Whippers,Sembower,120.6,0,Seattle rainier riot,Boob,103.4
16,Seattle rainier riot,Boob,103.4,0,Pixel Whippers,Sembower,120.6
15,Pixel Whippers,Sembower,121.0,0,Seattle rainier riot,Boob,208.6
15,Seattle rainier riot,Boob,208.6,1,Pixel Whippers,Sembower,121.0
16,Bud Lathrop Drive,Farmer,181.4,0,Sticky Icky,T-$,107.2
16,Sticky Icky,T-$,107.2,0,Bud Lathrop Drive,Farmer,181.4
15,Bud Lathrop Drive,Farmer,138.7,1,Sticky Icky,T-$,145.5
15,Sticky Icky,T-$,145.5,0,Bud Lathrop Drive,Farmer,138.7
16,Bench Don't Kill My Vibe,Padge,117.9,0,Springfield Atoms,Duvi,71.3
16,Springfield Atoms,Duvi,71.3,0,Bench Don't Kill My Vibe,Padge,117.9
15,Bench Don't Kill My Vibe,Padge,145.1,1,Springfield Atoms,Duvi,92.8
15,Springfield Atoms,Duvi,92.8,0,Bench Don't Kill My Vibe,Padge,145.1
16,CoMo FightinCamlToes,Doisy,99.1,0,Happy Rock Homewreckers,Blainer,105.9
16,Happy Rock Homewreckers,Blainer,105.9,0,CoMo FightinCamlToes,Doisy,99.1
15,CoMo FightinCamlToes,Doisy,99.9,0,Happy Rock Homewreckers,Blainer,112.4
15,Happy Rock Homewreckers,Blainer,112.4,1,CoMo FightinCamlToes,Doisy,99.9
