owner_team_name,wins,losses,points_for,points_against
Beacon Hill Posterizers,10,6,2359.8,2113.1
Bench Don't Kill My Vibe,4,12,2013.8,2123.0
Brookside Shokunin,10,6,2408.2,2197.1
Bud Lathrop Drive,7,9,2052.4,2114.9
CoMo FightinCamlToes,5,11,1827.1,2030.9
Happy Rock Homewreckers,6,10,1856.0,2081.1
Pixel Whippers,7,9,2468.7,2275.2
Seattle rainier riot,9,7,2359.1,2111.3
Springfield Atoms,5,11,1936.5,2186.9
Sticky Icky,7,9,2105.5,2153.6
